,Date,Open,High,Low,Close,Volume,MarketCap,UnitVolume,Rolling20D
1095,13-May-16,454.85,457.05,453.45,455.67,60845000,7081726955,133.5286501,
1094,14-May-16,455.82,456.84,454.79,455.67,37209000,7083394303,81.65777866,
1093,15-May-16,455.76,458.69,455.46,457.57,28514000,7114461730,62.31614835,
1092,16-May-16,457.59,458.2,452.95,454.16,59171500,7063120268,130.287784,
1091,17-May-16,454.01,455.07,453.61,453.78,64100300,7058821457,141.2585394,
1090,18-May-16,453.69,456,453.3,454.62,86850096,7073564772,191.0388808,
1089,19-May-16,454.52,454.63,438.71,438.71,96027400,6827425412,218.8858243,
1088,20-May-16,437.79,444.05,437.39,442.68,81987904,6890716750,185.20806,
1087,21-May-16,442.97,443.78,441.71,443.19,42762300,6900237725,96.487511,
1086,22-May-16,443.22,443.43,439.04,439.32,39657600,6842082300,90.27041792,
1085,23-May-16,439.35,444.35,438.82,444.15,50582500,6919346395,113.8860745,
1084,24-May-16,444.29,447.1,443.93,445.98,65783100,6949432035,147.5023544,
1083,25-May-16,446.06,450.3,446.06,449.6,65231000,7007360094,145.0867438,
1082,26-May-16,449.67,453.64,447.9,453.38,65203800,7067871184,143.8171071,
1081,27-May-16,453.52,478.15,453.52,473.46,164780992,7382558440,348.03572,
1080,28-May-16,473.03,533.47,472.7,530.04,181199008,8266477338,341.8591201,
1079,29-May-16,527.48,553.96,512.18,526.23,148736992,8209050618,282.6463562,
1078,30-May-16,528.47,544.35,522.96,533.86,87958704,8330000111,164.7598696,
1077,31-May-16,534.19,546.62,520.66,531.39,138450000,8293035755,260.5431039,
1076,1-Jun-16,531.11,543.08,525.64,536.92,86061800,8381321200,160.2879386,171.9681991
1075,2-Jun-16,536.52,540.35,533.08,537.97,60378200,8399598923,112.2333959,170.9034364
1074,3-Jun-16,537.68,574.64,536.92,569.19,122020000,8889102698,214.3748133,177.5392882
1073,4-Jun-16,569.71,590.13,564.24,572.73,94925296,8945981422,165.7417911,182.7105703
1072,5-Jun-16,573.31,582.81,569.18,574.98,68874096,8983555643,119.785203,182.1854412
1071,6-Jun-16,574.6,586.47,574.6,585.54,72138896,9151021089,123.2006285,181.2825457
1070,7-Jun-16,585.45,590.26,567.51,576.6,107770000,9013335474,186.9060007,181.0759017
1069,8-Jun-16,577.17,582.84,573.13,581.65,80265800,9094354021,137.9967334,177.0314471
1068,9-Jun-16,582.2,582.2,570.95,574.63,71301000,8987040811,124.0815829,173.9751233
1067,10-Jun-16,575.84,579.13,573.33,577.47,66991900,9033522014,116.0093165,174.9512136
1066,11-Jun-16,578.67,607.12,578.67,606.73,82357000,9493578714,135.7391261,177.224649
1065,12-Jun-16,609.68,684.84,607.04,672.78,277084992,10529624647,411.850816,192.1228861
1064,13-Jun-16,671.65,716,664.49,704.38,243295008,11026918233,345.4030608,202.0179214
1063,14-Jun-16,704.5,704.5,662.8,685.56,186694000,10734585656,272.3233561,208.379752
1062,15-Jun-16,685.68,696.3,672.56,694.47,99223800,10876756116,142.8770141,208.3327473
1061,16-Jun-16,696.52,773.72,696.52,766.31,271633984,12004751236,354.4701022,208.6544665
1060,17-Jun-16,768.49,775.36,716.56,748.91,363320992,11734973407,485.1330494,215.8181629
1059,18-Jun-16,748.76,777.99,733.93,756.23,252718000,11852610450,334.1813998,218.3949151
1058,19-Jun-16,756.69,766.62,745.63,763.78,136184992,11974386667,178.3039514,219.0721192
1057,20-Jun-16,763.93,764.08,732.73,737.23,174511008,11561085979,236.7117562,217.8805518
1056,21-Jun-16,735.88,735.88,639.07,666.65,309944000,10456853278,464.9276232,233.112536
1055,22-Jun-16,665.91,678.67,587.48,596.12,266392992,9352374507,446.8781319,249.8447728
1054,23-Jun-16,597.44,629.33,558.14,623.98,253462000,9791649877,406.2021219,259.4361383
1053,24-Jun-16,625.58,681.73,625.27,665.3,224316992,10442233719,337.1666797,268.0073827
1052,25-Jun-16,665.28,691.73,646.56,665.12,126656000,10442165051,190.4257878,271.5394119
1051,26-Jun-16,665.93,665.98,616.93,629.37,109225000,9883123077,173.5465624,274.0567086
1050,27-Jun-16,629.35,655.28,620.52,655.28,122134000,10292371661,186.3844463,274.0306309
1049,28-Jun-16,658.1,659.25,637.77,647,138384992,10164806261,213.8871592,277.8251522
1048,29-Jun-16,644.12,644.68,628.28,639.89,142456000,10055423427,222.6257638,282.7523612
1047,30-Jun-16,640.59,675.4,636.61,673.34,138980000,10583527799,206.403897,287.2720903
1046,1-Jul-16,672.52,686.15,669.59,676.3,134431008,10632674990,198.7742245,290.4238452
1045,2-Jul-16,676.73,703.7,676.4,703.7,112354000,11066171356,159.6617877,277.8143938
1044,3-Jul-16,704.97,704.97,649.01,658.66,129512000,10360455388,196.6295205,270.3757168
1043,4-Jul-16,658.8,683.66,650.51,683.66,92008400,10756225162,134.5821022,263.4886541
1042,5-Jul-16,683.21,683.49,665.07,670.63,130476000,10553590036,194.5573565,266.0726712
1041,6-Jul-16,670.42,681.9,670.42,677.33,134960992,10661460872,199.2544137,258.3118868
1040,7-Jul-16,678.09,682.43,611.83,640.56,258091008,10084880016,402.9146497,254.2009668
1039,8-Jul-16,640.69,666.71,636.47,666.52,141970000,10496037616,213.0018604,248.1419898
1038,9-Jul-16,666.38,666.38,633.4,650.96,180536000,10252979330,277.3380853,253.0936965
1037,10-Jul-16,650.6,652.29,641.26,649.36,102532000,10229001841,157.8970063,249.152959
1036,11-Jul-16,648.48,659.63,644.98,647.66,107910000,10203318330,166.6151993,234.2373378
